Category,Fund Name,Ticker,7-Day Yield (with waivers),7-Day Yield (without waivers),Minimum Initial Investment,Gross Expense Ratio,Net Expense Ratio,Total Net Assets,NAV,Eligible Investors,Notes
Taxable Money Funds,Schwab Prime Advantage Money Fund - Investor Shares,SWVXX,3.49%,3.48%,No Minimum,0.35%,0.34%,--,$1.00,Retail,
Taxable Money Funds,Schwab Prime Advantage Money Fund - Ultra Shares,SNAXX,3.64%,3.63%,"$1,000,000",0.20%,0.19%,--,$1.00,Retail,
Taxable Money Funds,Schwab Government Money Fund - Investor Shares,SNVXX,3.38%,3.38%,No Minimum,0.35%,0.34%,--,$1.00,Retail/Institutional,
Taxable Money Funds,Schwab Government Money Fund - Ultra Shares,SGUXX,3.53%,3.53%,"$1,000,000",0.20%,0.19%,--,$1.00,Retail/Institutional,
Taxable Money Funds,Schwab Treasury Obligations Money Fund - Investor Shares,SNOXX,3.40%,3.39%,No Minimum,0.35%,0.34%,--,$1.00,Retail/Institutional,
Taxable Money Funds,Schwab Treasury Obligations Money Fund - Ultra Shares,SCOXX,3.55%,3.54%,"$1,000,000",0.20%,0.19%,--,$1.00,Retail/Institutional,
Taxable Money Funds,Schwab U.S. Treasury Money Fund - Investor Shares,SNSXX,3.38%,3.38%,No Minimum,0.35%,0.34%,--,$1.00,Retail/Institutional,
Taxable Money Funds,Schwab U.S. Treasury Money Fund - Ultra Shares,SUTXX,3.53%,3.53%,"$1,000,000",0.20%,0.19%,--,$1.00,Retail/Institutional,
Tax-Exempt Money Funds,Schwab Municipal Money Fund - Investor Shares,SWTXX,2.08%,2.07%,No Minimum,0.35%,0.34%,--,$1.00,Retail,
Tax-Exempt Money Funds,Schwab Municipal Money Fund - Ultra Shares,SWOXX,2.23%,2.22%,"$1,000,000",0.20%,0.19%,--,$1.00,Retail,
Tax-Exempt Money Funds,Schwab AMT Tax-Free Money Fund - Investor Shares,SWWXX,2.08%,2.06%,No Minimum,0.36%,0.34%,--,$1.00,Retail,
Tax-Exempt Money Funds,Schwab AMT Tax-Free Money Fund - Ultra Shares,SCTXX,2.23%,2.21%,"$1,000,000",0.21%,0.19%,--,$1.00,Retail,
Tax-Exempt Money Funds,Schwab California Municipal Money Fund - Investor Shares,SWKXX,1.77%,1.76%,No Minimum,0.35%,0.34%,--,$1.00,Retail,
Tax-Exempt Money Funds,Schwab California Municipal Money Fund - Ultra Shares,SCAXX,1.92%,1.91%,"$1,000,000",0.20%,0.19%,--,$1.00,Retail,
Tax-Exempt Money Funds,Schwab New York Municipal Money Fund - Investor Shares,SWYXX,2.08%,2.06%,No Minimum,0.36%,0.34%,--,$1.00,Retail,
Tax-Exempt Money Funds,Schwab New York Municipal Money Fund - Ultra Shares,SNYXX,2.23%,2.21%,"$1,000,000",0.21%,0.19%,--,$1.00,Retail,
Sweep Money Fund,Schwab Government Money Fund - Sweep Shares,SWGXX,3.28%,3.28%,No Minimum,0.45%,0.44%,--,$1.00,--,No longer publicly listed; limited availability
Money Market ETF,Schwab Government Money Market ETF,SGVT,3.43%,--,No Minimum,--,0.28%,--,--,Retail/Institutional,ETF; NAV not stable; trades on exchange
